encoder,family,granularity,notebook,augmentation,target,seed,fold,split,rmse,mae,r2,band_f1_macro,band_qwk,band_confusion_matrix,screening_f1,screening_auc,screening_confusion_matrix,selected_model,selected_params,encoder_model,search,config_json,logged_at,notes
E3_TSDAE_EP20,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.668478,3.79182,0.138975,0.297372,0.393782,"[[3, 8, 1, 0], [1, 8, 8, 0], [0, 6, 7, 0], [0, 2, 4, 0]]",0.594595,0.676951,"[[22, 7], [8, 11]]",LightGBM,{},models/tsdae_e5_small_v2/ep20,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:16:16,
E3_TSDAE_EP30,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.509347,4.601033,-0.005306,0.263034,0.281369,"[[2, 4, 3, 0], [0, 3, 6, 3], [2, 7, 4, 1], [0, 1, 9, 3]]",0.576923,0.507937,"[[11, 10], [12, 15]]",LightGBM,{},models/tsdae_e5_small_v2/ep30,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:16:37,
E3_TSDAE_EP30,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.615343,3.808741,0.158464,0.256493,0.274298,"[[1, 10, 1, 0], [0, 11, 6, 0], [0, 7, 6, 0], [0, 3, 3, 0]]",0.375,0.649728,"[[22, 7], [13, 6]]",AdaBoost,{},models/tsdae_e5_small_v2/ep30,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:16:58,
E3_TSDAE_MR_EP05,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.296227,4.316886,0.070967,0.224786,0.197772,"[[0, 6, 2, 1], [0, 4, 7, 1], [0, 5, 8, 1], [0, 3, 8, 2]]",0.642857,0.594356,"[[10, 11], [9, 18]]",SVR,{},models/tsdae_e5_small_v2_mentalriskes/ep05,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:17:20,
E3_TSDAE_MR_EP05,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.648266,3.724601,0.146415,0.222135,0.285922,"[[1, 10, 1, 0], [0, 11, 6, 0], [0, 9, 4, 0], [0, 2, 4, 0]]",0.484848,0.638838,"[[23, 6], [11, 8]]",SVR,{},models/tsdae_e5_small_v2_mentalriskes/ep05,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:17:41,
E3_TSDAE_MR_EP10,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.311531,4.278631,0.06559,0.248758,0.212224,"[[0, 5, 3, 1], [0, 4, 6, 2], [0, 4, 10, 0], [0, 1, 10, 2]]",0.689655,0.61552,"[[10, 11], [7, 20]]",SVR,{},models/tsdae_e5_small_v2_mentalriskes/ep10,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:18:02,
E3_TSDAE_MR_EP10,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.98654,4.121711,0.017656,0.358202,0.271347,"[[3, 8, 1, 0], [0, 8, 9, 0], [1, 6, 6, 0], [0, 4, 1, 1]]",0.424242,0.593466,"[[22, 7], [12, 7]]",LightGBM,{},models/tsdae_e5_small_v2_mentalriskes/ep10,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:18:24,
E3_TSDAE_MR_EP20,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.234557,4.243953,0.092477,0.18277,0.239752,"[[0, 6, 2, 1], [0, 4, 8, 0], [0, 4, 10, 0], [0, 1, 12, 0]]",0.701754,0.606702,"[[11, 10], [7, 20]]",ExtraTrees,{},models/tsdae_e5_small_v2_mentalriskes/ep20,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:18:46,
E3_TSDAE_MR_EP20,frozen,participant,3,no_augmentation,GAD7,42,test,confirmatory,4.607176,3.832885,0.161439,0.344294,0.341235,"[[4, 6, 2, 0], [0, 7, 10, 0], [0, 9, 4, 0], [0, 2, 3, 1]]",0.410256,0.633394,"[[17, 12], [11, 8]]",GradientBoosting,{},models/tsdae_e5_small_v2_mentalriskes/ep20,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:19:07,
E3_TSDAE_MR_EP30,frozen,participant,3,no_augmentation,PHQ9,42,test,confirmatory,5.075283,4.19843,0.146864,0.25305,0.354918,"[[0, 5, 4, 0], [0, 4, 8, 0], [0, 4, 10, 0], [0, 0, 11, 2]]",0.745763,0.64903,"[[11, 10], [5, 22]]",RandomForest,{},models/tsdae_e5_small_v2_mentalriskes/ep30,defaults,"{""augmentation"": ""no_augmentation"", ""beto_model"": ""dccuchile/bert-base-spanish-wwm-cased"", ""chunk_stride"": 256, ""max_tokens"": 512, ""n_cv_splits"": 5, ""n_search_iter"": 0, ""seeds"": [42], ""sentence_transformer_model"": ""intfloat/multilingual-e5-small"", ""tfidf_lemmatize"": true, ""tfidf_max_df"": 0.9, ""tfidf_max_features"": 300, ""tfidf_min_df"": 3, ""tfidf_ngram_range"": [1, 2], ""tfidf_normalize_numbers"": true}",2026-09-17T04:19:28,
